target_path,target_type,target_subject,verdict,reasons,raw_hash_match,canonical_hash_match,body_hash_match,attachment_match_count,simhash_distance,token_jaccard,semantic_cosine
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Annual Empowering Women in Leadership Symposium 2024 (2).eml,eml,2nd Annual Empowering Women in Leadership Symposium 2024,UNRELATED,,0,0,0,0,15.0,0.1329923273657289,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Annual Empowering Women in Leadership Symposium 2024 (3).eml,eml,2nd Annual Empowering Women in Leadership Symposium 2024,UNRELATED,,0,0,0,0,15.0,0.12771084337349398,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Annual Empowering Women in Leadership Symposium 2024 (4).eml,eml,2nd Annual Empowering Women in Leadership Symposium 2024,UNRELATED,,0,0,0,0,15.0,0.12771084337349398,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Annual Empowering Women in Leadership Symposium 2024 (5).eml,eml,2nd Annual Empowering Women in Leadership Symposium 2024,UNRELATED,,0,0,0,0,14.0,0.13333333333333333,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Annual Empowering Women in Leadership Symposium 2024.eml,eml,2nd Annual Empowering Women in Leadership Symposium 2024,UNRELATED,,0,0,0,0,15.0,0.12771084337349398,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Employee Health, Wellness And HIV_AIDS Conference.eml",eml,"2nd Employee Health, Wellness And HIV/AIDS Conference",UNRELATED,,0,0,0,0,16.0,0.2694736842105263,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\30 September 2023 Statements (1).eml,eml,30 September 2023 Statements,UNRELATED,,0,0,0,0,27.0,0.07102272727272728,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\30 September 2023 Statements.eml,eml,30 September 2023 Statements,UNRELATED,,0,0,0,0,27.0,0.07102272727272728,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\3rd Annual MIRROR Conference - Gender Based Violence, Substance Abuse & Mental Health, 10,11 & 12 May 2023 - CSIR, Pretoria.eml",eml,"3rd Annual MIRROR Conference - Gender Based Violence, Substance Abuse & Mental Health, 10,11 & 12 May 2023 - CSIR, Pretoria",UNRELATED,,0,0,0,0,15.0,0.09025787965616046,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\3rd Quarter Councillor Personal Security Template.eml,eml,3rd Quarter Councillor Personal Security Template,UNRELATED,,0,0,0,0,33.0,0.0,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\3RD SKILLS DEVELOPMENT AND TRAINING COM AGENDA 2023 (1).eml,eml,3RD SKILLS DEVELOPMENT AND TRAINING COM AGENDA 2023,UNRELATED,,0,0,0,0,27.0,0.019672131147540985,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\3RD SKILLS DEVELOPMENT AND TRAINING COM AGENDA 2023.eml,eml,3RD SKILLS DEVELOPMENT AND TRAINING COM AGENDA 2023,UNRELATED,,0,0,0,0,27.0,0.019672131147540985,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4 Day Secretaries Detox Summit [5-8 September & 2-5 October 2023].eml,eml,4 Day Secretaries Detox Summit [5-8 September & 2-5 October 2023],UNRELATED,,0,0,0,0,31.0,0.11298076923076923,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th AFRICA DIRECTOR'S SUMMIT, 19-22 NOVEMBER 2024, LAGOON BEACH HOTEL, CAPE TOWN, RSA.eml",eml,"4th AFRICA DIRECTOR'S SUMMIT, 19-22 NOVEMBER 2024, LAGOON BEACH HOTEL, CAPE TOWN, RSA",UNRELATED,,0,0,0,0,8.0,0.32275132275132273,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th Annual Leadership Development for men and their role in social transformation  (1).eml,eml,4th Annual Leadership Development for men and their role in social transformation ,UNRELATED,,0,0,0,0,18.0,0.1408199643493761,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th Annual Leadership Development for men and their role in social transformation  (2).eml,eml,4th Annual Leadership Development for men and their role in social transformation ,UNRELATED,,0,0,0,0,18.0,0.1408199643493761,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th Annual Leadership Development for men and their role in social transformation  (3).eml,eml,4th Annual Leadership Development for men and their role in social transformation ,UNRELATED,,0,0,0,0,19.0,0.14285714285714285,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th Annual Leadership Development for men and their role in social transformation  (4).eml,eml,4th Annual Leadership Development for men and their role in social transformation ,UNRELATED,,0,0,0,0,19.0,0.14516129032258066,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th Annual Leadership Development for Men and their role in social transformation  (5).eml,eml,4th Annual Leadership Development for Men and their role in social transformation ,UNRELATED,,0,0,0,0,19.0,0.1326219512195122,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\4th Annual Leadership Development for men and their role in social transformation .eml,eml,4th Annual Leadership Development for men and their role in social transformation ,UNRELATED,,0,0,0,0,18.0,0.1408199643493761,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5 seats left on our SACPCMP and ECSA validated Project Risk Management training course – do you want one.eml,eml,5 seats left on our SACPCMP and ECSA validated Project Risk Management training course – do you want one,UNRELATED,,0,0,0,0,19.0,0.13803680981595093,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5CPD Mastering Contracts Management Training.eml,eml,5CPD Mastering Contracts Management Training,UNRELATED,,0,0,0,0,19.0,0.13232104121475055,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5th Annual Pension Conference (1).eml,eml,5th Annual Pension Conference,UNRELATED,,0,0,0,0,12.0,0.1619047619047619,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5th Annual Pension Conference (2).eml,eml,5th Annual Pension Conference,UNRELATED,,0,0,0,0,13.0,0.14602587800369685,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5th Annual Pension Conference.eml,eml,5th Annual Pension Conference,UNRELATED,,0,0,0,0,20.0,0.16136919315403422,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5th Annual Pension Funds Conference - 18 & 19 October 2023 - CSIR, Pretoria.eml",eml,"5th Annual Pension Funds Conference - 18 & 19 October 2023 - CSIR, Pretoria ",UNRELATED,,0,0,0,0,14.0,0.10951526032315978,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\5_ PROVIDENT FUND.eml,eml,5% PROVIDENT FUND ,UNRELATED,,0,0,0,0,18.0,0.06725146198830409,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\7th Annual Leadership Development for Women in Government & SOE's Conference-22nd, 23rd, 24th November 2023@Cape Town International Convention Centre.eml",eml,"7th Annual Leadership Development for Women in Government & SOE's Conference-22nd, 23rd, 24th November 2023@Cape Town International Convention Centre",UNRELATED,,0,0,0,0,15.0,0.14342629482071714,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\8 PCP ADDITIONAL CONTRACTS.eml,eml,8 PCP ADDITIONAL CONTRACTS,UNRELATED,,0,0,0,0,31.0,0.009615384615384616,
